company,job_categories,keyword,max_salary,min_salary,requirements,responsibilities,seniority,title,url
SINGAPORE AIRLINES LIMITED,Information Technology,AI Engineer,9000,4500," Possess a degree in Information Technology or related fields with at least 1 year hands-on experience in developing applications using Node.js and associated tools Experience with back end technologies and protocols such as HTTP, REST, XML, JSON, and API's, being familiar with web based communication protocols and ability to code to HTTP REST APIs Experience working with RDBMS (e.g., Oracle, MySQL, postgreSQL etc) Good knowledge and/or experience with Agile methodologies/practices: SCRUM, Continuous Integration, Continuous Testing, Automated Testing Good awareness of security considerations/best practices for web facing applications and having a strong interest in learning new technology and tools are essential. Experience in test automation, test-driven development and cloud-based implementation will be added advantage. Experience with front end frameworks such as Angular highly regarded. Strong communication skills and an early adopter mindset highly regarded. "," Develop, integrate and maintain in-house AI and Cognitive solution using leading AI technologies Create models, train and leveraging machine learning APIs to build solutions with embed intelligence in a variety of domain-specific use-cases such as Chatbots for the enterprise Create prototype to explore feasibility of new solutions embedding latest leading AI and Cognitive technologies Follow Agile software methodologies for development Write automated unit, feature and regression test suites ","Professional, Senior Executive",Solution Engineer (Contact Centre AI& Cognitive Applications),https://www.mycareersfuture.sg/job/439752e19955f1970c315393d70b4ca6
ASUS GLOBAL PTE. LTD.,Sciences / Laboratory / R&D,AI Engineer,5000,4000,"  • Master's Degree in Information Engineering, Electrical Engineering, Mathematics • Minimum experience of 3 years  • At least equip with one of following criteria: -Machine learning -Computer Vision -Data Mining",• Use machine learning to solve computer vision related issues • Smart device core technology research and development • Cloud software platform development,Professional,AI & Machine learning engineer,https://www.mycareersfuture.sg/job/6d29536e195bcd471cfebef17debf584
AMADEUS GDS SINGAPORE PTE. LTD.,"Banking and Finance, Information Technology",Business Analyst,8000,5000,"Diploma/Degree level IT qualification Minimum of 3 years IT Service experience in Travel and Tourism Industry (Airline/GDS) with a focus on IT Business or equivalent Understanding of IT services marketplace Understanding of travel IT marketplace a plus Understanding of e-commerce services issues, understanding of commercial drivers for IT selection Understanding of competitors offers for IT services a plus Fluency in English Our diversity commitment: equality, diversity and inclusion are part of who we are. We’re committed to equal opportunities and treatment regardless of age, ethnicity, gender, beliefs, sexual orientation or disability.","The Senior Commercial Business Analyst for Travel Channels, Airline, Airport, Hotel and Rail IT Services. He/she will support all Business Units initiatives/engagements with Customers through managing all interactions between Amadeus Global Operations and the BU’s and Customers. Managing the responses to request documents, managing the technical solutioning, positioning SLA’s, providing G-OPS cost inputs and managing contract negotiations with customers. Support all Business Units in the region • Working with the BUs within the region, support the IT business initiatives with Airlines, Airports, Distribution Partners and Hotels in APAC through the Customer acquisition to Contract signature phases. • Provide support for new contracts, as well as revisions and renewals of contracts. RFP Management • The Senior Commercial Business Analyst will manage all information requests, e.g. RFPs and other business requests, from customers within the Region and be the focal point of contact for selected BUs and Customers from a TPE perspective. • The Senior Commercial Business Analyst receives requests and performs the initial analysis whence these steps will be triggered:  Identify the input needed to build the response Plan and control the response development in partnership with the Proposal coordinator to make sure the delivery requirement is met Briefing staff and if necessary vendors on the requirements Coordinate with the customer(s) for questions and clarifications Manage the cost and pricing models for TPE for the response and aligning with the expectations of the BU’s and ultimately our customers Obtain sign off from senior TPE management for the proposal response For accepted proposals the Senior Commercial Business Analyst is responsible for negotiating the commercial terms, Service Level and contract with the customer as representative of Global Operations. For successful sales bids, ensure handover to the project/line organization for implementation  Support Amadeus Core Services The Senior Commercial Business Analyst is responsible for supporting the marketing and sales groups of Amadeus in the sale of main Amadeus products. The Senior Commercial Business Analyst is responsible for the process during the pre-sales through contract signature phases. It will include these responsibilities: • Providing presentation material • Making presentations of Amadeus infrastructure related subjects to customers in the pre-sales/sales period • Manage and drive technical workshops/discussions as necessary • Manage the Proposal Generation Process as above • Manage the Contract negotiation with Commercial and Legal Drive New Business opportunities • Identification of new opportunities to increase the existing business or develop new business, which involves defining the opportunity, assessing the opportunity for Amadeus and building a business case for the development of the product or service. • Within the Region, promote and drive the IT infrastructure product opportunities from idea to implementation. In working with BU’s and Marketing build a formidable Value Proposition encompassing the Amadeus traditional and IT product suite with the evolving IT infrastructure products. Development of General Resource Plans and Budgets The Senior Commercial Business Analyst is responsible for being aware of the activities in other departments within TPE and other Amadeus group companies. This information will be used to build an understanding of the ability of TPE to introduce new customers or products within the short and medium term, where this understanding will be formalized into budgets and planning documents.",Senior Executive,Senior Commerical Business Analyst,https://www.mycareersfuture.sg/job/0886f382baf81a242431c6645ab27eb0
APPLE SOUTH ASIA PTE. LTD.,Others,Business Analyst,12000,6000,"7 years experience Extensive experience in reporting, data visualisation, data mining, data integration and ad hoc analysis Strong TABLEAU, SQL, EXCEL and Business Objects expertise Experience with working with RDMS - Teradata, MySQL Experience in SQL tuning, writing complex queries Experience with data integration tools like Talend, CloverETL and Informatica Familiar with Supply Chain/Operations environment preferred  Excellent data analysis and presentation skills  Excellent attention-to-detail, ability to compile and validate large amounts of data while maintaining a very high degree of accuracy  Excellent communication and comprehension skills  Ability to operate in a fast paced, rapidly changing environment  Business Acumen and ability to rapidly understand complex business process  Excellent problem solving skills: ability to analyze and resolve complex problems in a structured and logical manner  Excellent/Advanced Excel skills  Ability to comprehensively understand data elements, sources and relationships Self-motivated individual able to function effectively when working independently or in a team Degree in Business Administration / IT / Data Management / Process Re-engineering preferred","The Business Analyst is responsible for the Business Intelligence and Reporting requirements for the management and business users in Pacific Operations organization. The Analyst needs to help identify and analyze business issues by combining business acumen, process expertise and deep understanding of available data. She/he must be able to deliver a solution in timely manner and communicate across to management and various stakeholders. The analyst will design and maintain standard/ad-hoc reporting and automation requests. She/he will provide the expertise, gather data from different sources and use various reporting tools and scripts to meet the user requirements. The Business Analyst should possess as well as maintain a high degree of knowledge on data sources and relationships. The Analyst should be able to lead and participate in cross-functional teams to address business needs and/or system issues. She/he must be skilled at documenting, presenting research and analytical results, as well as documenting and managing complex business processes. Support Data analytics component of critical business processes (Executive Reporting, Business Review, Special Events, Capital Projects) Develop and manage daily/weekly/monthly/quarterly critical reporting and automations Develop ad hoc reporting and automations upon request Develop and implement new reports and analytical tools based on business requirements Issue resolution (analysis and corrective actions involving data or business process issues) Proactively identify opportunities to use reporting to better support business management and/or improve efficiency of tools Document and maintain information related to key operational processes Develop, gather, write and or contribute to documentation and materials needed for process improvement Participate in Data/Analytics project and propose enhancements (Data Capture/Integration, Architecture or harmonization)",Executive,Decision Support Business Analyst,https://www.mycareersfuture.sg/job/acab0018bf40cfa31323b6c8d52f2aa8
APPLE SOUTH ASIA PTE. LTD.,Others,Business Analyst,10000,5000,"5 years experience Extensive experience in reporting, data visualisation, data mining, data integration and ad hoc analysis Strong TABLEAU, SQL, EXCEL and Business Objects expertise Experience with working with RDMS - Teradata, MySQL Experience in SQL tuning, writing complex queries Experience with data integration tools like Talend, CloverETL and Informatica Familiar with Supply Chain/Operations environment preferred  Excellent data analysis and presentation skills  Excellent attention-to-detail, ability to compile and validate large amounts of data while maintaining a very high degree of accuracy  Excellent communication and comprehension skills  Ability to operate in a fast paced, rapidly changing environment  Business Acumen and ability to rapidly understand complex business process  Excellent problem solving skills: ability to analyze and resolve complex problems in a structured and logical manner  Excellent/Advanced Excel skills  Ability to comprehensively understand data elements, sources and relationships Self-motivated individual able to function effectively when working independently or in a team Degree in Business Administration / IT / Data Management / Process Re-engineering preferred","The Business Analyst is responsible for the Business Intelligence and Reporting requirements for the management and business users in Pacific Operations organization. The Analyst needs to help identify and analyze business issues by combining business acumen, process expertise and deep understanding of available data. She/he must be able to deliver a solution in timely manner and communicate across to management and various stakeholders. The analyst will design and maintain standard/ad-hoc reporting and automation requests. She/he will provide the expertise, gather data from different sources and use various reporting tools and scripts to meet the user requirements. The Business Analyst should possess as well as maintain a high degree of knowledge on data sources and relationships. The Analyst should be able to lead and participate in cross-functional teams to address business needs and/or system issues. She/he must be skilled at documenting, presenting research and analytical results, as well as documenting and managing complex business processes. Support Data analytics component of critical business processes (Executive Reporting, Business Review, Special Events, Capital Projects) Develop and manage daily/weekly/monthly/quarterly critical reporting and automations Develop ad hoc reporting and automations upon request Develop and implement new reports and analytical tools based on business requirements Issue resolution (analysis and corrective actions involving data or business process issues) Proactively identify opportunities to use reporting to better support business management and/or improve efficiency of tools Document and maintain information related to key operational processes Develop, gather, write and or contribute to documentation and materials needed for process improvement Participate in Data/Analytics project and propose enhancements (Data Capture/Integration, Architecture or harmonization)",Executive,Decision Support Business Analyst,https://www.mycareersfuture.sg/job/e007ced35471b9c6819394f4a6e1ccea
"JPMORGAN CHASE BANK, N.A.",Banking and Finance,Business Analyst,15000,7500,"Qualifications  5-10 years in Financial Services or Consulting in complex program and Stakeholder management Deep knowledge of client data and related data privacy rules Excellent project management and business analysis skills Experience with operating model design and process reengineering Ability to work effectively and build strong relationships with teams across all levels of the organization Ability to dive into details and synthetize information for executive communication Independent, organized, self-motivated and a team player Excellent verbal and written communication and presentation skills Strong interpersonal leadership, partnership and influencing skills Strategic thinker with the ability to quickly define and deconstruct problems leveraging strong analytical and end-to-end problem solving skills Ability to prioritize and handle multiple tasks effectively; be proactive in a fast-paced environment Possesses excellent judgment, knows when to escalate complex issues to senior management or functional partners with relevant expertise Knowledge and understanding of Asset and Wealth Management business preferred Advanced skills with the core MS Office suite (Excel, Word, and PowerPoint); Advanced skills with standard PM tools (e.g. MS Project); Familiarity with process-mapping tools (e.g. MS Visio, etc.)    We strongly encourage all applicants to apply via our careers website where you are able join our Talent Network to receive customized vacancy notifications and ensure that your details are accessible by our global recruiting team - www.jpmorganchase.com/careers.   A quick link to this particular job posting can be found in this URL: http://jobs.jpmorganchase.com/ListJobs/ByKeyword/180018096/  Please note that only short-listed candidates will be notified. We thank you for your interest and wish you all the best in your career.  Yours Sincerely, Human Resources JPMorgan","JP Morgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.3 trillion and operations in more than 60 countries. We serve millions of U.S. consumers and many of the world's most prominent corporate, institutional and government clients. We are a leader in investment banking, financial services for consumers, small business and commercial banking, financial transaction processing, asset management and private equity. J.P. Morgan is a global leader in asset and wealth management services. With assets under supervision of $2.0 trillion and assets under management of $1.4 trillion, we are one of the largest asset and wealth managers in the world.   Overview A critical priority for Asset & Wealth Management (WM) is to ensure that high-quality data is available to run our business and meet our clients' needs. The Asset and Wealth Management Chief Data Office (CDO) was established to define AWM's data strategy and support for the core data used across AWM and needed to run our business. The AWM CDO is positioned in the AWM Operations division, within AWM Center reporting to the AWM Chief Operational Officer (COO). We work with the AWM Business & Technology teams as well as the Firmwide CDO team to deliver robust platforms and effective operating models to ensure sound management of our data.   The AWM Project Manager/Business Analyst will be part of the Party & Account workstream which is focused on establishing a data strategy for client and account data as well as driving AWM wide client & account data related programs. The focus of the role will be on data requirements and issues in the Asia Pacific region, escalating BAU data issues as well as insuring CDO support for critical projects and programs in the Asia Pacific region including aligning to the broader data strategy.  The project Manager/Business Analyst will be the trusted CDO partner for Asia Pacific, and insure their needs are properly represented as we define improvements to our core party & account data platforms. The project business analyst oversees the creation, modification, implementation, and adoption of golden sources, by downstream systems/applications, across the entire Asset Management organization.  The business analyst will collaborate with business, compliance, and technology teams to plan, manage, and track the enhancements needed by Asia Pacific, manage execution risks, and issues to ensure successful implementation of changes to our core platforms.   Key Responsibilities  Act as key APAC representative the for the AWM Party & Account CDO team 	 Participate in various global data forums, initiatives and projects as the AWM CDO Party & Account APAC lead Act as point of escalation for WM APAC teams as it relates to Party & Account data issues   Define and manage APAC data requirements and enhancements to implement applications for the Party & Account data domain, to drive adoption of golden sources, and help implement data quality standards and processes. Project manage the implementation of the WM APAC Roadmap for Party & Account in partnership with Business, Compliance and  Technology -  ensuring alignment to the global roadmap, business priorities, data governance standards as well as APAC specifics Manage and lead change, including data and platform migrations - partnering with APAC teams on potential impacts and changes to operating models and processes    Lead and deliver on APAC specific party and account data projects and programs, effectively managing scope, risks, issues, dependencies and resourcing requirements; laying out project plans, tasks, ownership; tracking and communicating progress    Develop key metrics and reporting that include key messages, issues, risks, control and operational effectiveness Prepare presentations and materials for stakeholder reviews, project team meetings and leadership reviews; Chair APAC specific forums Manage partnerships with key stakeholders across APAC including, AWM Lines of Business, Technology and Corporate Functions   ",Senior Executive,"Asset Management, Chief Data Office, Client and Account Project Manager / Business Analyst for APAC",https://www.mycareersfuture.sg/job/53e2b8c6f414f16aa4084b841b8c874d
GOOGLE ASIA PACIFIC PTE. LTD.,Information Technology,Business Analyst,10667,6400,"Minimum qualifications:  Master's degree or equivalent practical experience. 2 years of relevant work experience as an Analyst or in an Analytical role. Experience analyzing data and creating reports, with database query experience (e.g. SQL), statistical and quantitative modeling. Experience working with metrics and KPIs and using them to guide a business.  Preferred qualifications:  Experience coding with Java, Python and R. Experience with SQL and Visualization tools. Capable of back-end and data processing work to power UIs. Effective analytical and problem solving skills, combined with business judgment and the ability to present analysis in a clear and compelling manner. Interest in user interface design and data visualization front-end architecture and implementation. ","Company overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Go-to-Market Strategy and Operations The Go-to-Market Strategy and Operations organization partners with our Google Cloud Sales organization to develop Go-to-Market strategies, providing business critical insights using analytics, ensuring cross functional alignment of goals and execution, and helping teams drive strategic partnerships and new initiatives forward. We stay focused on aligning the highest-level company priorities with day-to-day operations, and help evolve early stage ideas into future-growth initiatives. Our team of creative visionaries thrives in deconstructing and re-creating businesses to meet changing strategic and operational needs, enable, incubate and scale innovation, establish more efficient practices, align functions and stakeholders to help the company continue to achieve its vast potential. The role: Business Analyst, Google Cloud - Singapore Business Analysts ensure that Google makes effective business and operational decisions. As a Business Analyst, your work, whether it's modeling business scenarios, tracking performance metrics or building metrics that matter, is used by our leaders to make strategic company decisions. Working on multiple projects at a time, you'll focus on the details while finding creative ways to tackle big picture challenges. You'll lead individual projects to transform planning, tracking and control processes, as well as provide senior level management with insightful recommendations, planning and reporting support. As a Business Analyst, you will use your leadership skills, technology insight, business acumen and creativity as the team builds data pipelines and tools to automate reporting and generate insight. You will use a data driven approach to sharpen decision making and drive understanding of our fast-growing business. Combined with the resources of a dedicated sales force, our insights translate directly to accelerated growth and improve Google’s ability to serve its Cloud customers at scale. In this role, you'll be building scalable solutions that will help make data relevant to the Cloud on current and historical performance, and visualizing the key opportunities for growth. Using your technical skills, you will build tools to automate reporting and dashboard updates so the Cloud leadership team can see quickly and accurately how their businesses are performing. Responsibilities:  Build reports, dashboards, models and tools to analyze, report, and present operations related data that is associated with customer pipeline, product usage, bookings forecasting and business productivity. Provide insights to the business through analysis of bookings, activity and product data to drive greater efficiency and effectiveness of our Sales teams. Develop data warehousing and reporting solutions to address the growing business reporting, analytics and data requirements. Support engagement activities to analyze business environments, gather business requirements and create data visualizations in support of work product. Manage Sales team activity reports, product adoption, territory and segment analysis. ",Executive,"Business Analyst, Google Cloud - Singapore",https://www.mycareersfuture.sg/job/efda927ba26fb2e31deca513134aa8e3
RANDSTAD PTE. LIMITED,Information Technology,Business Analyst,9000,7500,"skills and experience  7years of hands on experiencebusiness analysis and project implementation Experience in managing and delivery of trading platforms for Treasury products on a global scale, integrated within the organizations treasury product systems.  Treasury Product knowledge – From Front-to- Back Office.  Understanding of front to back process flows  Experience working with MUREX technical background Good understanding in Oracle SQL, PLSQL and Unix.  To apply online please use the 'apply' function, alternatively you may contact Puja Narang Randstad EA License No:        94C3609 EA Personnel Registration No:   R1434239","about the company  Our client from banking industry Singapore is looking for an experienced business analyst for the core Treasury IT team to support the bank’s treasury division for the business with Commodities,Credit Derivatives, FXD, IRD, FX, MM, Fixed Income products in Singapore, Thailand,Indonesia, Malaysia, China and its overseas branches across the globe.    about the job  The Business analyst role is responsible for the delivery of strategic projects or tactical changes for the bank’s treasury division. The role is expected to work with market risk control (PCG) users, tech Lead, system Analyst and project manager to implement Murex as the new Treasury system across the various asset classes. Thecandidate is also expected to lead the delivery of the market risk control streamensuring that all development and build are delivered and tested within the committed timelines.    ",Professional,Senior Business Analyst,https://www.mycareersfuture.sg/job/41778efbb8f8aadcd01b39d39986ae97
C. STEINWEG ONLINE 1847 PTE. LTD.,Information Technology,Business Analyst,4000,3000,"Requirements:  Coachable, inquisitive, proactive and willing to learn Structured way of working Experience in writing clear and concise documentation Conduct analysis on requirements and solving problems Understand the importance of using standards and methods to enable our team of developers to work in a disciplined and structured way of programming Lead small projects/pieces of work on your own Be a contributor to the team and give well thought-out feedback Carries out tasks as per instructions and works independently Problem solver and trouble shoot issues in a timely manner Works well with stakeholder and be willing to ask questions to learn sufficient details to carry out tasks  Qualifications:  Role is suitable for a fresh graduate who has project experience, or someone with 1-2 years working experience Bachelor or Master degree in a technical curriculum. Able to fluently speak, read and write in English.  Compensation:  Depending on qualifications, experience and current compensation monthly salary 3000-4000 SGD 13th month + bonus option 20 days annual leave  Location: Singapore, 1 North Bridge Road To apply for this job please ensure to submit both your resume and a motivation letter. Any applications that do not have a proper motivation letter will be disregarded. Due to visa restrictions only local Singaporean or PR candidates will be considered for the role.","C. Steinweg Online 1847 Pte .Ltd. has developed an online Portal for customers of C. Steinweg Warehousing. This portal allows stock viewing, supports trading and communications between customers and the worldwide Steinweg Warehouses.  With the backing of our parent company providing a solid foundation this is a unique opportunity to work in a startup, be part of a fresh, international mix of colleagues with an entrepreneurial spirit and together continue to expand this Online Portal. The Junior Business Analyst, together with the Business Analyst will be responsible for defining the path to successful delivery of new features on the Steinweg Online Portal. The Junior Business Analyst will also on a part-time basis support the Customer Support team to investigate customer issue, trouble-shoot problems and escalate bugs or improvements to the development team as necessary.","Fresh/entry level, Junior Executive",Junior Business Analyst,https://www.mycareersfuture.sg/job/df1147b9a57ea2ba0f60d6dfab0644eb
BEMYGUEST PTE. LTD.,Information Technology,Business Analyst,6500,4000,"Required Skills and Knowledge  Desire to work collaboratively with stakeholders and teammate Experience in deploying and implementing mobile solutions and consumer facing online/web solutions (eCommerce, Payment) would be a strong advantage An ability to provide direction and feedback on mobile platforms, modern web and user experience design, graphics, layout and transitions Ability to gain a quick understanding of business needs, new processes and applications. Strong technical knowledge and business analysis skills Strong evidence of problem solving and analytical Strong project management skills and proven track record of implementing large skill projects to completion Strong verbal and written communication skills, with ability to communicate technical concepts in business terminology Generates creative solutions, uses different approaches to resolve issues, generates ideas for improvement Must have experience and background in the digital online and mobile space, knowledgeable in technology trends and platforms Solid understanding of project management, methodologies and hands-on experience in managing all aspect of project delivery, including partner relationship management  Required Competencies  Work in a fast-paced Agile environment Takes responsibility & accountability to deliver Develop business & functional requirements to ensure that technological solutions are aligned to client, business, and stakeholder needs Ability to multi-task and prioritize to aggressive deadlines Proven experience delivering effective digital projects Demonstration of attitude which generates high level of trust and team work between IT and non-IT colleagues Focus on approaches driven by careful considerations of the risks Experience with Confluence and JIRA Experience in writing user stories and acceptance criteria  Required Work Experience  Minimum 4-6 years experience in Business Analyst role(s) Must have experience and background in the digital online and mobile space, knowledgeable in technology trends and platforms Solid understanding of project management, methodologies and hands-on experience in managing all aspect of project delivery, including partner relationship management Exposure to agile development processes  Required Qualifications  Degree in Information Technology or equivalent ","Established in 2012, BeMyGuest is the leading provider of tours, activities, and attractions in Asia. The multi-award winner has been named as the Best Tours & Activities Website at the 2015 and 2016 TravelMole Asia Pacific Web Awards, the Best Business Innovation at the 2016 Singapore Tourism Awards, and the fourth travel company on Fast Company’s list of the World's Top 50 Most Innovative Companies in 2016.  Overall Purpose of The Job Business Analyst will act as a strategic liaison to the Product and Tech teams in support of understanding and gathering requirements delivered from our strategic clients. The role will entail client engagement, gathering requirements, business process, business mapping and delivery. The Business Analyst needs to demonstrate sound product judgment; the ability to formulate product requirements, and present clear measurable objectives that will lead to achieving the business goals.  Key Responsibilities  To study and analyse user requirements, to prepare detailed functional specifications and related documents by engaging internal stakeholder to meet the project timeline. To prepare project documentation conforming to standards and procedures. Work with delivery team to deliver system according to specification as well as track the tasks assigned to the team in meeting project schedule, quality and within project budget. To perform extensive application testing including functional and interfaces, etc from test strategy, test planning, design, execution and management of test program and problem resolution. Act as a primary interface with strategic partners to produce business and functional requirements. Obtain client approval of acceptance criteria and priorities.   Prepare and product business requirements, functional requirements document inclusive of business, operational, and technical needs. Map requirements to functional processes/workflows to clarify requirements. Analyse requirements through client’s brief, roadmap and transform them into solutions for implementation. Proxy for business during sprint planning and sprints by answering business questions and resolving related issues Participate in the User Acceptance Testing phase of a project to resolve business queries and aid the smooth transition of projects towards implementation Work with various stakeholders throughout the development phase to resolve any areas of change and ensure that the delivered solution meets the requirements of the business  What We are Offering  Full-time position at an award-winning and rapidly growing startup company Competitive package (salary, holidays) Travel industry benefits and perks ",Professional,Senior Information Technology Business Analyst,https://www.mycareersfuture.sg/job/9ed1af56cb0c0f061335f08ab0522b2e
